============================================================
都道府県別カバー率レポート
============================================================

都道府県           市場求人     自社保有     カバー率
----------------------------------------
三重県               1件        0件     0.0%
京都府               0件        1件     0.0%
兵庫県               0件        1件     0.0%
北海道               0件        1件     0.0%
千葉県               1件        1件   100.0%
埼玉県               0件        1件     0.0%
大阪府               2件        1件    50.0%
奈良県               1件        0件     0.0%
宮城県               1件        1件   100.0%
宮崎県               1件        0件     0.0%
富山県               1件        0件     0.0%
岩手県               0件        1件     0.0%
島根県               1件        0件     0.0%
広島県               0件        1件     0.0%
愛媛県               1件        0件     0.0%
愛知県               1件        2件   200.0%
東京都               2件        1件    50.0%
熊本県               0件        1件     0.0%
石川県               1件        0件     0.0%
神奈川県              2件        2件   100.0%
福岡県               1件        1件   100.0%
秋田県               1件        0件     0.0%
静岡県               0件        1件     0.0%
香川県               1件        0件     0.0%
鹿児島県              1件        0件     0.0%
----------------------------------------
合計               20件       17件    85.0%
============================================================
